../Pbp_8rap9pt_newcut_off2M
rap	pT	ntrk	ET	ctauErrMin	ctauErrMax	NoCutEntry	CutEntry
-0.47-0.43	10.0-14.0	0.0-350.0	0.0-120.0	0.008	0.056	3481.0	3453.0	
-0.47-0.43	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.04	1805.0	1782.0	
-0.47-0.43	3.0-4.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
-0.47-0.43	4.0-5.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
-0.47-0.43	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.048	46.0	45.0	
-0.47-0.43	6.5-7.5	0.0-350.0	0.0-120.0	0.016	0.056	892.0	875.0	
-0.47-0.43	7.5-8.5	0.0-350.0	0.0-120.0	0.016	0.056	1756.0	1743.0	
-0.47-0.43	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.056	2553.0	2538.0	
-1.37--0.47	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.064	4121.0	4085.0	
-1.37--0.47	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.04	1910.0	1896.0	
-1.37--0.47	3.0-4.0	0.0-350.0	0.0-120.0	0.04	0.048	1.0	1.0	
-1.37--0.47	4.0-5.0	0.0-350.0	0.0-120.0	0.04	0.088	93.0	59.0	
-1.37--0.47	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.136	2025.0	1977.0	
-1.37--0.47	6.5-7.5	0.0-350.0	0.0-120.0	0.016	0.105	2936.0	2897.0	
-1.37--0.47	7.5-8.5	0.0-350.0	0.0-120.0	0.016	0.073	2918.0	2875.0	
-1.37--0.47	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.073	3392.0	3363.0	
-1.97--1.37	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.088	3091.0	3022.0	
-1.97--1.37	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.073	1159.0	1146.0	
-1.97--1.37	3.0-4.0	0.0-350.0	0.0-120.0	0.048	0.224	5332.0	5192.0	
-1.97--1.37	4.0-5.0	0.0-350.0	0.0-120.0	0.04	0.176	7478.0	7192.0	
-1.97--1.37	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.256	11397.0	11318.0	
-1.97--1.37	6.5-7.5	0.0-350.0	0.0-120.0	0.024	0.2	5317.0	5274.0	
-1.97--1.37	7.5-8.5	0.0-350.0	0.0-120.0	0.024	0.16	3524.0	3490.0	
-1.97--1.37	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.096	3299.0	3197.0	
-2.40--1.97	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.105	1254.0	1233.0	
-2.40--1.97	14.0-30.0	0.0-350.0	0.0-120.0	0.016	0.088	497.0	481.0	
-2.40--1.97	2.0-3.0	0.0-350.0	0.0-120.0	0.072	0.272	6985.0	6821.0	
-2.40--1.97	3.0-4.0	0.0-350.0	0.0-120.0	0.056	0.224	6431.0	6316.0	
-2.40--1.97	4.0-5.0	0.0-350.0	0.0-120.0	0.04	0.209	4725.0	4680.0	
-2.40--1.97	5.0-6.5	0.0-350.0	0.0-120.0	0.04	0.184	4426.0	4364.0	
-2.40--1.97	6.5-7.5	0.0-350.0	0.0-120.0	0.024	0.145	1888.0	1861.0	
-2.40--1.97	7.5-8.5	0.0-350.0	0.0-120.0	0.024	0.136	1292.0	1272.0	
-2.40--1.97	8.5-10.0	0.0-350.0	0.0-120.0	0.024	0.105	1106.0	1079.0	
0.43-1.03	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.056	2376.0	2352.0	
0.43-1.03	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.04	1102.0	1095.0	
0.43-1.03	3.0-4.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
0.43-1.03	4.0-5.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
0.43-1.03	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.073	307.0	302.0	
0.43-1.03	6.5-7.5	0.0-350.0	0.0-120.0	0.024	0.073	1158.0	1144.0	
0.43-1.03	7.5-8.5	0.0-350.0	0.0-120.0	0.016	0.073	1533.0	1522.0	
0.43-1.03	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.056	1880.0	1855.0	
1.03-1.46	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.064	1714.0	1697.0	
1.03-1.46	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.056	731.0	724.0	
1.03-1.46	3.0-4.0	0.0-350.0	0.0-120.0	0.056	0.072	22.0	11.0	
1.03-1.46	4.0-5.0	0.0-350.0	0.0-120.0	0.032	0.152	334.0	316.0	
1.03-1.46	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.136	2913.0	2806.0	
1.03-1.46	6.5-7.5	0.0-350.0	0.0-120.0	0.024	0.112	2197.0	2156.0	
1.03-1.46	7.5-8.5	0.0-350.0	0.0-120.0	0.016	0.088	1732.0	1705.0	
1.03-1.46	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.08	1669.0	1649.0	
1.46-1.93	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.088	1819.0	1771.0	
1.46-1.93	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.056	596.0	576.0	
1.46-1.93	3.0-4.0	0.0-350.0	0.0-120.0	0.048	0.264	4997.0	4936.0	
1.46-1.93	4.0-5.0	0.0-350.0	0.0-120.0	0.04	0.232	7182.0	7086.0	
