../pAMerged_8rap9pt_newcut_off2M
rap	pT	ntrk	ET	ctauErrMin	ctauErrMax	NoCutEntry	CutEntry
-0.47-0.43	10.0-14.0	0.0-350.0	0.0-120.0	0.008	0.056	5947.0	5918.0	
-0.47-0.43	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.048	2985.0	2965.0	
-0.47-0.43	3.0-4.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
-0.47-0.43	4.0-5.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
-0.47-0.43	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.048	83.0	81.0	
-0.47-0.43	6.5-7.5	0.0-350.0	0.0-120.0	0.016	0.056	1495.0	1476.0	
-0.47-0.43	7.5-8.5	0.0-350.0	0.0-120.0	0.016	0.056	2956.0	2942.0	
-0.47-0.43	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.064	4185.0	4171.0	
-1.37--0.47	10.0-14.0	0.0-350.0	0.0-120.0	0.008	0.064	6748.0	6713.0	
-1.37--0.47	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.048	3197.0	3186.0	
-1.37--0.47	3.0-4.0	0.0-350.0	0.0-120.0	0.04	0.048	1.0	1.0	
-1.37--0.47	4.0-5.0	0.0-350.0	0.0-120.0	0.032	0.128	162.0	149.0	
-1.37--0.47	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.136	3464.0	3385.0	
-1.37--0.47	6.5-7.5	0.0-350.0	0.0-120.0	0.016	0.105	4880.0	4828.0	
-1.37--0.47	7.5-8.5	0.0-350.0	0.0-120.0	0.016	0.088	4922.0	4886.0	
-1.37--0.47	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.088	5656.0	5630.0	
-1.97--1.37	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.12	5208.0	5172.0	
-1.97--1.37	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.073	1971.0	1947.0	
-1.97--1.37	3.0-4.0	0.0-350.0	0.0-120.0	0.048	0.328	8951.0	8905.0	
-1.97--1.37	4.0-5.0	0.0-350.0	0.0-120.0	0.04	0.272	12481.0	12411.0	
-1.97--1.37	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.256	19071.0	18991.0	
-1.97--1.37	6.5-7.5	0.0-350.0	0.0-120.0	0.024	0.209	8919.0	8875.0	
-1.97--1.37	7.5-8.5	0.0-350.0	0.0-120.0	0.024	0.184	5898.0	5870.0	
