../pp_8rap9pt_newcut_priv
rap	pT	ntrk	ET	ctauErrMin	ctauErrMax	NoCutEntry	CutEntry
-0.90-0.00	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.073	24240.0	24093.0	
-0.90-0.00	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.048	12268.0	12188.0	
-0.90-0.00	3.0-4.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
-0.90-0.00	4.0-5.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
-0.90-0.00	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.073	861.0	855.0	
-0.90-0.00	6.5-7.5	0.0-350.0	0.0-120.0	0.024	0.073	7310.0	7262.0	
-0.90-0.00	7.5-8.5	0.0-350.0	0.0-120.0	0.016	0.08	12411.0	12341.0	
-0.90-0.00	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.064	17672.0	17553.0	
-1.50--0.90	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.088	17842.0	17757.0	
-1.50--0.90	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.048	7998.0	7953.0	
-1.50--0.90	3.0-4.0	0.0-350.0	0.0-120.0	0.056	0.08	53.0	45.0	
-1.50--0.90	4.0-5.0	0.0-350.0	0.0-120.0	0.04	0.128	1403.0	1360.0	
-1.50--0.90	5.0-6.5	0.0-350.0	0.0-120.0	0.032	0.209	13647.0	13573.0	
-1.50--0.90	6.5-7.5	0.0-350.0	0.0-120.0	0.024	0.145	15301.0	15194.0	
-1.50--0.90	7.5-8.5	0.0-350.0	0.0-120.0	0.024	0.088	14061.0	13931.0	
-1.50--0.90	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.08	15488.0	15360.0	
-1.93--1.50	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.112	11898.0	11836.0	
-1.93--1.50	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.105	4399.0	4370.0	
-1.93--1.50	2.0-3.0	0.0-350.0	0.0-120.0	0.08	0.176	747.0	694.0	
-1.93--1.50	3.0-4.0	0.0-350.0	0.0-120.0	0.056	0.304	6909.0	6873.0	
-1.93--1.50	4.0-5.0	0.0-350.0	0.0-120.0	0.04	0.304	17361.0	17300.0	
-1.93--1.50	5.0-6.5	0.0-350.0	0.0-120.0	0.032	0.264	34192.0	34081.0	
-1.93--1.50	6.5-7.5	0.0-350.0	0.0-120.0	0.032	0.2	18644.0	18583.0	
-1.93--1.50	7.5-8.5	0.0-350.0	0.0-120.0	0.024	0.16	12827.0	12765.0	
-1.93--1.50	8.5-10.0	0.0-350.0	0.0-120.0	0.024	0.16	11982.0	11937.0	
-2.40--1.93	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.112	6147.0	6105.0	
-2.40--1.93	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.096	2519.0	2503.0	
-2.40--1.93	2.0-3.0	0.0-350.0	0.0-120.0	0.088	0.352	17080.0	16896.0	
-2.40--1.93	3.0-4.0	0.0-350.0	0.0-120.0	0.064	0.28	21028.0	20854.0	
-2.40--1.93	4.0-5.0	0.0-350.0	0.0-120.0	0.048	0.209	18894.0	18770.0	
-2.40--1.93	5.0-6.5	0.0-350.0	0.0-120.0	0.04	0.209	20300.0	20201.0	
-2.40--1.93	6.5-7.5	0.0-350.0	0.0-120.0	0.032	0.168	8933.0	8900.0	
-2.40--1.93	7.5-8.5	0.0-350.0	0.0-120.0	0.024	0.12	6186.0	6116.0	
-2.40--1.93	8.5-10.0	0.0-350.0	0.0-120.0	0.024	0.145	6016.0	5993.0	
0.00-0.90	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.073	24151.0	23989.0	
0.00-0.90	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.064	12325.0	12271.0	
0.00-0.90	3.0-4.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
0.00-0.90	4.0-5.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
0.00-0.90	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.073	866.0	858.0	
0.00-0.90	6.5-7.5	0.0-350.0	0.0-120.0	0.024	0.08	7135.0	7091.0	
0.00-0.90	7.5-8.5	0.0-350.0	0.0-120.0	0.016	0.073	12439.0	12360.0	
0.00-0.90	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.064	17474.0	17332.0	
0.90-1.50	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.105	17694.0	17593.0	
0.90-1.50	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.048	7891.0	7827.0	
0.90-1.50	3.0-4.0	0.0-350.0	0.0-120.0	0.056	0.096	67.0	57.0	
0.90-1.50	4.0-5.0	0.0-350.0	0.0-120.0	0.04	0.152	1546.0	1490.0	
0.90-1.50	5.0-6.5	0.0-350.0	0.0-120.0	0.032	0.224	13854.0	13792.0	
0.90-1.50	6.5-7.5	0.0-350.0	0.0-120.0	0.024	0.152	15525.0	15423.0	
0.90-1.50	7.5-8.5	0.0-350.0	0.0-120.0	0.024	0.12	14351.0	14227.0	
