../pPb_8rap9pt_newcut_off2M
rap	pT	ntrk	ET	ctauErrMin	ctauErrMax	NoCutEntry	CutEntry
-0.43-0.47	10.0-14.0	0.0-350.0	0.0-120.0	0.008	0.056	2466.0	2465.0	
-0.43-0.47	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.04	1180.0	1179.0	
-0.43-0.47	3.0-4.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
-0.43-0.47	4.0-5.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
-0.43-0.47	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.056	37.0	37.0	
-0.43-0.47	6.5-7.5	0.0-350.0	0.0-120.0	0.016	0.056	603.0	601.0	
-0.43-0.47	7.5-8.5	0.0-350.0	0.0-120.0	0.016	0.056	1200.0	1199.0	
-0.43-0.47	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.064	1632.0	1632.0	
-1.03--0.43	10.0-14.0	0.0-350.0	0.0-120.0	0.008	0.048	1701.0	1700.0	
-1.03--0.43	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.04	770.0	769.0	
-1.03--0.43	3.0-4.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
-1.03--0.43	4.0-5.0	0.0-350.0	0.0-120.0	0.0	0.008	0.0	0.0	
-1.03--0.43	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.064	216.0	209.0	
-1.03--0.43	6.5-7.5	0.0-350.0	0.0-120.0	0.016	0.056	792.0	783.0	
-1.03--0.43	7.5-8.5	0.0-350.0	0.0-120.0	0.016	0.064	1018.0	1017.0	
-1.03--0.43	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.056	1265.0	1265.0	
-1.46--1.03	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.056	1193.0	1182.0	
-1.46--1.03	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.04	404.0	403.0	
-1.46--1.03	3.0-4.0	0.0-350.0	0.0-120.0	0.056	0.072	7.0	4.0	
-1.46--1.03	4.0-5.0	0.0-350.0	0.0-120.0	0.04	0.12	215.0	196.0	
-1.46--1.03	5.0-6.5	0.0-350.0	0.0-120.0	0.024	0.128	2001.0	1947.0	
-1.46--1.03	6.5-7.5	0.0-350.0	0.0-120.0	0.024	0.096	1561.0	1527.0	
-1.46--1.03	7.5-8.5	0.0-350.0	0.0-120.0	0.024	0.096	1137.0	1125.0	
-1.46--1.03	8.5-10.0	0.0-350.0	0.0-120.0	0.016	0.064	1159.0	1144.0	
-1.93--1.46	10.0-14.0	0.0-350.0	0.0-120.0	0.016	0.088	1218.0	1191.0	
-1.93--1.46	14.0-30.0	0.0-350.0	0.0-120.0	0.008	0.048	382.0	376.0	
-1.93--1.46	3.0-4.0	0.0-350.0	0.0-120.0	0.056	0.209	3266.0	3158.0	
-1.93--1.46	4.0-5.0	0.0-350.0	0.0-120.0	0.04	0.24	4777.0	4754.0	
-1.93--1.46	5.0-6.5	0.0-350.0	0.0-120.0	0.032	0.224	6260.0	6242.0	
-1.93--1.46	6.5-7.5	0.0-350.0	0.0-120.0	0.024	0.184	2569.0	2559.0	
